1000,1,Gorodetski,Rachel,solid state,52
1005,1,Zalmanovitch,Sarah,c++,55
1005,2,Zalmanovitch,Sarah,electricity,94
1005,3,Zalmanovitch,Sarah,data structures,77
1005,4,Zalmanovitch,Sarah,parallel algorithm analysis and design,81
1005,5,Zalmanovitch,Sarah,solid state,50
1005,6,Zalmanovitch,Sarah,semi-conductors,26
1005,7,Zalmanovitch,Sarah,,14
1110,1,Beneliyahu,Shmuel,data structures,16
1110,2,Beneliyahu,Shmuel,electronics,83
1110,3,Beneliyahu,Shmuel,compilers,25
1110,4,Beneliyahu,Shmuel,general chemistry,11
1110,5,Beneliyahu,Shmuel,sequential algorithm analysis and design,86
1110,6,Beneliyahu,Shmuel,parallel algorithm analysis and design,39
1110,7,Beneliyahu,Shmuel,software engineering,99
1110,8,Beneliyahu,Shmuel,operating systems,67
1115,1,Bouzaglo,Yossef,data structures,81
1115,2,Bouzaglo,Yossef,logic programming,62
1115,3,Bouzaglo,Yossef,operating systems,87
1115,4,Bouzaglo,Yossef,sequential algorithm analysis and design,40
1115,5,Bouzaglo,Yossef,semi-conductors,52
1115,6,Bouzaglo,Yossef,classical mechanics,70
1115,7,Bouzaglo,Yossef,algebra,70
1115,8,Bouzaglo,Yossef,data structures,38
1115,9,Bouzaglo,Yossef,discrete mathematics,42
1115,10,Bouzaglo,Yossef,compilers,98
1115,11,Bouzaglo,Yossef,software engineering,96
1115,12,Bouzaglo,Yossef,file management systems,99
1115,13,Bouzaglo,Yossef,c++,44
1115,14,Bouzaglo,Yossef,solid state,95
1115,15,Bouzaglo,Yossef,formal languages,14
1115,16,Bouzaglo,Yossef,electronics,79
1115,17,Bouzaglo,Yossef,economy and law,35
1115,18,Bouzaglo,Yossef,,33
1115,19,Bouzaglo,Yossef,principles of programming languages,47
1115,20,Bouzaglo,Yossef,functional programming,67
1115,21,Bouzaglo,Yossef,data bases,25
1115,22,Bouzaglo,Yossef,parallel algorithm analysis and design,45
1115,23,Bouzaglo,Yossef,general chemistry,53
1115,24,Bouzaglo,Yossef,statistics,54
1115,25,Bouzaglo,Yossef,parallel programming ,42
1129,1,Cohen,Aharon,statistics,0
1129,2,Cohen,Aharon,file management systems,80
1129,3,Cohen,Aharon,parallel algorithm analysis and design,48
1129,4,Cohen,Aharon,general chemistry,21
1129,5,Cohen,Aharon,formal languages,57
1129,6,Cohen,Aharon,functional programming,76
1129,7,Cohen,Aharon,algebra,96
1129,8,Cohen,Aharon,c++,24
1129,9,Cohen,Aharon,economy and law,93
1129,10,Cohen,Aharon,parallel programming ,91
1129,11,Cohen,Aharon,data structures,62
1129,12,Cohen,Aharon,data structures,90
1129,13,Cohen,Aharon,solid state,38
1129,14,Cohen,Aharon,logic programming,96
1129,15,Cohen,Aharon,sequential algorithm analysis and design,35
1129,16,Cohen,Aharon,electronics,96
1129,17,Cohen,Aharon,semi-conductors,12
1129,18,Cohen,Aharon,software engineering,25
1200,1,Levy,Moshe,electronics,80
1200,2,Levy,Moshe,classical mechanics,1
1200,3,Levy,Moshe,logic programming,98
1200,4,Levy,Moshe,file management systems,55
